specimen_name,scan_number,segment_index,start_x,start_y,end_x,end_y,length_pixels,length_microns,angle_degrees
int_01_01,0005,8,1506,939,1402,1121,209.6187,238.2023,-60.26
int_01_01,0005,9,1404,1152,1547,1227,161.4745,183.4931,27.68
int_01_01,0005,10,1547,1227,1633,1383,178.1348,202.4252,61.13
int_01_01,0005,11,1611,1416,1503,1459,116.2454,132.0967,-21.71
int_01_01,0005,12,1503,1459,1415,1625,187.8829,213.5027,-62.07
int_01_01,0005,13,1415,1625,1573,1789,227.7279,258.7809,46.07
int_01_01,0005,14,1573,1789,1604,1895,110.4400,125.4996,73.70
int_01_01,0005,15,1604,1895,1474,2001,167.7379,190.6106,-39.19
int_01_01,0006,0,1534,0,1639,183,210.9834,239.7531,60.15
int_01_01,0006,1,1639,183,1493,238,156.0160,177.2904,-20.64
int_01_01,0006,2,1493,238,1399,377,167.8005,190.6817,-55.93
int_01_01,0006,3,1404,446,1563,544,186.7753,212.2439,31.65
int_01_01,0006,4,1563,544,1616,674,140.3887,159.5322,67.82
int_01_01,0006,5,1616,674,1459,825,217.8302,247.5335,-43.88
int_01_01,0006,6,1565,701,1402,935,285.1754,324.0619,-55.14
int_01_01,0006,7,1404,966,1554,1052,172.9046,196.4819,29.83
int_01_01,0006,8,1554,1052,1622,1195,158.3446,179.9364,64.57
int_01_01,0006,9,1604,1226,1498,1270,114.7693,130.4193,-22.54
int_01_01,0006,10,1498,1270,1394,1424,185.8279,211.1674,-55.97
int_01_01,0006,11,1405,1484,1550,1566,166.5803,189.2952,29.49
int_01_01,0006,12,1550,1566,1613,1697,145.3616,165.1831,64.32
int_01_01,0006,13,1613,1697,1444,1859,234.1047,266.0272,-43.79
int_01_01,0006,14,1553,1733,1392,1964,281.5706,319.9656,-55.12
int_01_01,0006,15,1395,1993,1493,2047,111.8928,127.1505,28.86
int_01_01,0007,0,1618,22,1472,62,151.3803,172.0225,-15.32
int_01_01,0007,1,1472,62,1373,198,168.2171,191.1552,-53.95
int_01_01,0007,2,1388,255,1552,347,188.0425,213.6840,29.29
int_01_01,0007,3,1552,347,1617,480,148.0338,168.2197,63.95
int_01_01,0007,4,1610,514,1493,563,126.8464,144.1431,-22.72
int_01_01,0007,5,1493,563,1376,718,194.2009,220.6822,-52.95
int_01_01,0007,6,1386,774,1556,865,192.8238,219.1172,28.16
int_01_01,0007,7,1556,865,1633,1017,170.3907,193.6252,63.13
int_01_01,0007,8,1595,1067,1489,1079,106.6771,121.2236,-6.46
int_01_01,0007,9,1489,1079,1392,1220,171.1432,194.4803,-55.47
int_01_01,0007,10,1398,1285,1550,1376,177.1581,201.3154,30.91
int_01_01,0007,11,1550,1376,1612,1498,136.8503,155.5112,63.06
int_01_01,0007,12,1612,1498,1452,1666,232.0000,263.6355,-46.40
int_01_01,0007,13,1559,1532,1395,1777,294.8237,335.0258,-56.20
int_01_01,0007,14,1396,1802,1547,1891,175.2769,199.1777,30.52
int_01_01,0007,15,1547,1891,1612,2047,169.0000,192.0448,67.38
int_01_01,0008,0,1441,0,1383,115,128.7983,146.3612,-63.24
int_01_01,0008,1,1383,115,1537,193,172.6268,196.1662,26.86
int_01_01,0008,2,1537,193,1620,346,174.0632,197.7985,61.52
int_01_01,0008,3,1620,346,1467,409,165.4630,188.0255,-22.38
int_01_01,0008,4,1467,409,1371,550,170.5784,193.8385,-55.75
int_01_01,0008,5,1380,579,1563,704,221.6168,251.8365,34.34
int_01_01,0008,6,1563,704,1628,848,157.9905,179.5341,65.71
int_01_01,0008,7,1608,872,1468,904,143.6106,163.1933,-12.88
int_01_01,0008,8,1468,904,1364,1049,178.4405,202.7726,-54.35
int_01_01,0008,9,1374,1075,1541,1185,199.9725,227.2407,33.37
int_01_01,0008,10,1541,1185,1614,1330,162.3392,184.4757,63.28
int_01_01,0008,11,1581,1390,1484,1410,99.0404,112.5455,-11.65
int_01_01,0008,12,1484,1410,1367,1570,198.2145,225.2431,-53.82
int_01_01,0008,13,1392,1629,1538,1696,160.6393,182.5441,24.65
int_01_01,0008,14,1538,1696,1612,1814,139.2839,158.2766,57.91
int_01_01,0008,15,1594,1905,1480,1920,114.9826,130.6616,-7.50
int_01_01,0008,16,1480,1920,1397,2047,151.7168,172.4050,-56.83
int_01_01,0009,0,1396,0,1377,89,91.0055,103.4150,-77.95
int_01_01,0009,1,1377,89,1580,191,227.1849,258.1639,26.68
int_01_01,0009,2,1580,191,1638,323,144.1804,163.8409,66.28
int_01_01,0009,3,1638,323,1473,372,172.1220,195.5926,-16.54
int_01_01,0009,4,1473,372,1355,510,181.5709,206.3299,-49.47
int_01_01,0009,5,1355,510,1544,618,217.6810,247.3639,29.74
int_01_01,0009,6,1544,618,1609,727,126.9094,144.2148,59.19
int_01_01,0009,7,1604,761,1422,889,222.5039,252.8446,-35.12
int_01_01,0009,8,1368,953,1534,1069,202.5142,230.1290,34.95
int_01_01,0009,9,1534,1069,1617,1216,168.8135,191.8329,60.55
int_01_01,0009,10,1574,1273,1460,1290,115.2606,130.9775,-8.48
int_01_01,0009,11,1460,1290,1363,1429,169.4993,192.6122,-55.09
