specimen_name,scan_number,total_contact_length_microns,total_contact_length_mm,SAEF,MID_mm,VIR,CAT_HORIZONTAL_len_mm,CAT_CLOSING_len_mm,CAT_OPENING_UPPER_len_mm,CAT_OPENING_LOWER_len_mm
slo_65_01,0004,2873.9489,2.8739,1.2514,1.0080,0.2433,0.0000,2.1180,0.7559,0.0000
slo_65_01,0005,2966.3767,2.9664,1.2752,0.9773,0.2542,0.0000,2.1207,0.8456,0.0000
slo_65_01,0006,3040.1587,3.0402,1.3070,1.1330,0.2282,0.0000,1.7151,1.3250,0.0000
slo_65_01,0007,3066.0907,3.0661,1.3181,1.0273,0.2550,0.0000,1.8872,1.1789,0.0000
slo_65_01,0008,3056.8094,3.0568,1.3504,1.1364,0.2286,0.0000,1.9679,1.0889,0.0000
slo_65_01,0009,2952.3158,2.9523,1.2692,1.1023,0.2349,0.0000,1.6728,1.2795,0.0000
slo_65_01,0010,3155.8929,3.1559,1.3567,1.0432,0.2572,0.0000,1.8800,1.2759,0.0000
slo_65_01,0011,3029.7246,3.0297,1.3025,0.9818,0.2568,0.0000,1.8642,1.1655,0.0000
slo_65_01,0012,3145.8968,3.1459,1.3524,1.0727,0.2460,0.0000,1.9973,1.1486,0.0000
slo_65_01,0013,2870.1847,2.8702,1.2522,1.0682,0.2182,0.0000,2.1795,0.6907,0.0000
slo_65_01,0014,3186.5352,3.1865,1.3699,1.0955,0.2395,0.0000,2.0500,1.1365,0.0000
slo_65_01,0015,3223.0974,3.2231,1.3856,1.0227,0.2622,0.0000,1.8383,1.3848,0.0000
slo_65_01,0016,2915.0952,2.9151,1.2681,0.9580,0.2478,0.0000,1.4813,1.4338,0.0000
slo_65_01,0017,3075.4967,3.0755,1.3222,1.1034,0.2288,0.0000,1.5560,1.5195,0.0000
slo_70_01,0001,3183.0782,3.1831,1.3684,1.0864,0.2161,0.0000,2.1131,1.0699,0.0000
slo_70_01,0002,2791.8716,2.7919,1.2478,0.8739,0.2188,0.0000,1.4146,1.3773,0.0000
slo_70_01,0003,2807.8148,2.8078,1.2208,0.7864,0.2332,0.0000,1.6712,1.1366,0.0000
slo_70_01,0004,2988.2576,2.9883,1.2846,0.7989,0.2469,0.0000,1.8097,1.1786,0.0000
