image_filename,total_length_microns,total_length_mm
1103_0001.png,4499.504077741838,4.499504077741838
1103_0002.png,3674.973108203835,3.6749731082038353
1104_75slo_0001.png,6098.130608444113,6.098130608444113
1104_75slo_0002.png,5550.278710711305,5.550278710711305
1104_75slo_0003.png,5068.074373839398,5.068074373839398
1104_75slo_0004.png,5300.685304471878,5.3006853044718785
1104_sin_0001.png,5835.808017207713,5.835808017207714
1104_sin_0002.png,6454.880020405925,6.454880020405925
1104_sin_0003.png,6162.687853965918,6.1626878539659184
1104_sin_0004.png,4519.10904009853,4.51910904009853
